"","Year","Area","Street","Street.2","Strange.HTML"
"1",2011,"Birmingham","Acocks Green",NA,"One &amp; Two"
"2",2011,"","Adderly str.","Adderly Str test","Some &ndash; ndash"
"3",2011,"","Alcester Raod Mosley",NA,"&euro;300"
"4",2011,"","Alcester rd.","Alcester str.","alcester&nbsp;road"
"5",2011,"","Alcester rd. Moseley","Alcester str. Moseley","&quot;That silly man&quot;"
"6",2011,"","Alcester rd. Moseley","Alcester str. Moseley","&lt;html&gt;"
"7",2011,"","Alfred str.","Alfred Str","One &amp; Two"
"8",2011,"","All Service Club Mosley",NA,"Some &ndash; ndash"
"9",2011,"","Alum Rock rd.","Alum Rock str.","&euro;300"
"10",2011,"","Alum Rock rd.","Alum Rock str.","alcester&nbsp;road"
"11",2011,"","Alum Rock rd.","Alum Rock str.","&quot;That silly man&quot;"
"12",2011,"","Alum Rock rd.","Alum Rock str.","&lt;html&gt;"
"13",2011,"","Arcadian Centre",NA,"One &amp; Two"
"14",2011,"","Arden rd. Saltley","Arden str. Saltley","Some &ndash; ndash"
"15",2011,"","Asda Chemsley Wood",NA,"&euro;300"
"16",2011,"","Balsahll Heath Park J W Brighton rd.","Balsahll Heath Park J W Brighton str.","alcester&nbsp;road"
"17",2011,"","Bamford rd.","Bamford str.","&quot;That silly man&quot;"
"18",2011,"","Bamford rd.","Bamford str.","&lt;html&gt;"
"19",2011,"","Beechbrook ave. Sparkhill",NA,"One &amp; Two"
"20",2011,"","Belchers Lane","Belchers ln.","Some &ndash; ndash"
"21",2011,"","Belchers Lane","Belchers ln.","&euro;300"
"22",2011,"","Belchers Lane","Belchers ln.","alcester&nbsp;road"
"23",2011,"","Belchers Lane Bordesley Green","Belchers ln. Bordesley Green","&quot;That silly man&quot;"
"24",2011,"","Bell str.","Bell Str","&lt;html&gt;"
"25",2011,"","Berkley str. East Haymills","Berkley Str East Haymills","One &amp; Two"
"26",2011,"","Birmingham Airport",NA,"Some &ndash; ndash"
"27",2011,"","Birmingham International Railway Station",NA,"&euro;300"
"28",2011,"","Bordesley Green",NA,"alcester&nbsp;road"
"29",2011,"","Bordesley Green Bordesley Green",NA,"&quot;That silly man&quot;"
"30",2011,"","Bristol rd.","Bristol str.","&lt;html&gt;"
"31",2011,"","Bristol str.","Bristol Str","One &amp; Two"
"32",2011,"","Broad str.","Broad Str","Some &ndash; ndash"
"33",2011,"","Broad str.","Broad Str","&euro;300"
"34",2011,"","Broad str. Birmingham","Broad Str Birmingham","alcester&nbsp;road"
"35",2011,"","Buckland End Lane Shard End","Buckland End ln. Shard End","&quot;That silly man&quot;"
